"inputTweet","score","sentiment"
"More Regency Romance! Get @pandamoonpub's gr8 reads at Amazon. Find @CheriChampagne’s THE TROUBLE WITH LOVE at… https://t.co/vAKsHtR6BK",0,"neutral"
"Amazon – Buy AmazonBasics Ultra-Portable Nano Bluetooth Speakers at Rs.749 https://t.co/62QYRvWq3x",1,"positive"
"New #Job Opportunity: Business Analyst at Amazon  https://t.co/mYZtdtCYhT https://t.co/hRUogeMQVo",0,"neutral"
"Wounded war vet, whose scars run deeper than her wounds. REMEMBER TO FORGET https://t.co/tlOzV4HAJv #TBR #woundedwarriors",-2,"negative"
"#NewRelease A RAKE LIKE NO OTHER #Regency Rendezvous #Romance Lighthearted, fun, and truly magical.… https://t.co/k3jmqCyNgv",3,"positive"
"Time to put an end to congress &amp; it’s legal “Insider Trading” Throw Them All Out https://t.co/DXtgTb8ABv https://t.co/OulJU2VvYD",0,"neutral"
"#Win #Amazon $100 Gift Card in @theCasePlus #giveaway #amazongiveaway #giftcard . Enter here: https://t.co/b7l0Jrmp8R",0,"neutral"
"At 15 Did 15 countries #Travel #4x4 By Land and Sea 🚙🚢 From Australia to Germany #ReadIndie https://t.co/jrFJ4Bqd3B https://t.co/u1M9dakhiN",0,"neutral"
"Amazon- Buy Axe Signature Temptation After Shave Lotion, 100ml for Rs 130 only https://t.co/zGZsiEvtev",-1,"negative"
"@amazon Is Cutting Prices at Newly Acquired @WholeFoods - Bloomberg https://t.co/iNDh8ltkh6",0,"neutral"
"They called me a #Band #Geek. https://t.co/vGTIzBYE4G",0,"neutral"
"For #lowcarb and #keto enthusiasts. https://t.co/J6V4GiVfQV #diet",0,"neutral"
"Amazon Music Unlimited matches Apple Music deal for students, plus $1/mo promo https://t.co/bXLZ8K5DnA https://t.co/Skytokqjr5",1,"positive"
"The Best Damn Sales Book Ever: 16 Rock-Solid Rules for Achieving Sales Success!: Warren Greshes - https://t.co/qj9ZiTA5Ss #sales #salestip",2,"positive"
"I entered a giveaway for a chance to win ""Oerla FP6-129 Personality Ergonomic Triangular Gri..."" by Oerla. https://t.co/RZvp3ro5jN #giveaway",1,"positive"
"@bengoldacre For me it was Brewer's Dictionary of Phrase and Fable: https://t.co/ZW7Cxzem6F",0,"neutral"
"99 cents
https://t.co/1oKDq6aRX3 https://t.co/wnJZGdN2PW",0,"neutral"
"Dog Bone Cut Outs, Dog House Cut Outs... https://t.co/7bxBcr2RU5 via @amazon #naturecuts #confetti #cutout #dog #doglovers #pets #supplies",0,"neutral"
"🐾""Come on, you big bad #werewolf.""
WEREWOLF INTERRUPTED #paranormal
https://t.co/r5eTLXZQaN
#paranormal
https://t.co/NE6xItG4N3",-1,"negative"
"$2.99 THE UNDONE MAN #SciFi #fantasy
by #MikeCecconi @Cecconi140 *
https://t.co/RULiAHM1tr 
https://t.co/EShh29Janc",-1,"negative"
"Grocery Bonds Plunge As Amazon Slashes Whole Foods Prices https://t.co/HxEgs0PG7d",0,"neutral"
"New Release #5: The Little Book of Lykke: The Danish Search for the World's Happiest People https://t.co/vLM2Qlgt5Q #Books #NewRelease",0,"neutral"
"The Amazon wish list grows....",0,"neutral"
"#LiteraryFiction about family #relationships #racism and #socialclasses from #author @PamelaM1102 Now on #Amazon!… https://t.co/oIIxZTqS5M",0,"neutral"
"New #kidsread for ages 6-12 yrs.
- The little Lilly: Lilly's Adventure -
""Kids will love it. I guarantee.""… https://t.co/4WGyH4pKnq",2,"positive"
"""⭐⭐⭐⭐⭐ Riveting...a story unlike any you have read before.""
➖ The Isle of Thom ➖
#suspense #horror @TheIsleOfThom… https://t.co/4YUT6sI8SW",0,"neutral"
"Four women destined to tame the Lions of the Black Isle #medievalromance https://t.co/YMKiUfnbgx https://t.co/w8IbdgoYf2",0,"neutral"
"I just participated in an #AmazonGiveaway for ColorJoy® Compatible Ink Cartridges H.... Check it out here:
 https://t.co/YwAESgelk8",1,"positive"
"Scales of Justice
Step into the mind of a serial killer.
US Link https://t.co/PmEFs1lWpW
UK Link... https://t.co/cjyPnlIgAj",-1,"negative"
"Show your love for @AngelaWhite by sending her something sexy from her #Wishlist https://t.co/qJOEwaV6ls https://t.co/CkJ1lkyoQj",2,"positive"
"@KayaJones @amazon Yes Mam. It is",0,"neutral"
"In a world gone mad, some sane advice https://t.co/cr7a03CbVw #TheABCsofParenthood (Today's our pub date. Proud of… https://t.co/1sENsd2y6e",0,"neutral"
"My new awesome amazing novel
Atlantic Dragon. Buy / retweet https://t.co/IsQPXiAjzV",2,"positive"
"We will be seeing lots of buyouts down there #ecommerce #amazon #trendyol #markafoni #hepsiburada #online #shopping… https://t.co/rgjoOGD5Ic",0,"neutral"
"#7: Paragon Rising Star Kids Junior #7 Iron Ages 3-5 Red / Right-Hand          https://t.co/kwGAXrgfHH",1,"positive"
"The Future Of Amazon And Whole Foods: Drones, Shared Refrigerators, And Hydroponic Garages https://t.co/dos4scaTzw",-1,"negative"
"amazon teens sex colombian hot women https://t.co/aSsyWwnJWb",1,"positive"
"@amyklobuchar believes @amazon committed ""anti-trust"" violations  purchasing @WholeFoods ... that or the @DNC got n… https://t.co/DoR9tyK3gt",1,"positive"
"""
Here’s Why Amazon Might Now be Restaurants’ Worst Enemy"" https://t.co/R0RzZ8DhJw by @JJThaeler on @LinkedIn",-2,"negative"
"Pro-Trump Artist Kaya Jones Passes Justin Bieber, Katy Perry on Amazon New Releases Chart https://t.co/Fq0lfFTkp2",1,"positive"
"“Andre I have to go. I don’t belong here anymore.”   ""Initiation"" by Ayssa Tanner at  #Amazon #Kindle or #FREE on… https://t.co/KOIaFJT02X",0,"neutral"
"★A DEAD MOTHER★
✔https://t.co/kOOLhliJ8X

@aburke59 https://t.co/NHS3m66Tda #ASMSG #bookboost #bookaholic https://t.co/HpQcMmG3xP",-1,"negative"
"On day one, Amazon starts to transform Whole Foods - https://t.co/025yn1Cbkf",0,"neutral"
"This has had more downloads than many of my books.
If you are #neurodivergent, it might be worth a pop.
#poetrybook… https://t.co/Bs5qexyhjG",1,"positive"
"Regency Romance 4 U! Get @pandamoonpub's gr8 reads at Amazon? Find @CheriChampagne’s LOVE’S MISADVENTURE at… https://t.co/PoL2ZgcPbB",1,"positive"
"Peeping Toms love Dani! EVERYTHING BARED: https://t.co/U4sgDgVV06 #AmazonUK #exhibitionism #kink #romance #pdf1 #BYNR #IAN1",1,"positive"
"Hacking Homework: 10 Strategies That Inspire Learning Outside The Classroom (hack Learnin  https://t.co/ilhDa9zFjc #hacking @hackernewsbot_",0,"neutral"
"position cowgirl sexual amazon female woman art jolie nude https://t.co/B0qKWbY0oM",0,"neutral"
"The Dark Sides Of The Internet: On Cyber Threats And Information Warfare  https://t.co/yErIu1BvIn #ddos @hackernewsbot_",-2,"negative"
"@amazon with the doggie/lion commercial! https://t.co/biLAROWHe2",0,"neutral"
"Check out Lisa's author page on Amazon --&gt; https://t.co/vzoZkd36J7",0,"neutral"
"Onam Store @ Amazon.in -@amazonnow 
Get Up to 70% Off on Electronic 
Coupon Code : GMDEAL50
https://t.co/QMyEUWmPTZ… https://t.co/bffmPsmAS2",0,"neutral"
"@bama_nurse I just finished season 2 of Mr Robot. It's on Amazon prime not sure about neto",0,"neutral"
"Joey Essex - Being Reem https://t.co/p1FlAAaMJ3 #JoeyEssex #autobiography #TOWIE @JoeyEssex_",0,"neutral"
"@MuertoBueno @SMcCrae_ @Cocodwor @KonyChimel @PlayTransistor I'm down at £41.99 on amazon with no prime already 😎",0,"neutral"
"I entered a giveaway for a chance to win ""Women Pure Color Long Kimono Satin Robe for Bri..."" by Cityoung. https://t.co/Z1RewWDNhl #giveaway",2,"positive"
"#NEW ""This book was so much fun to read!"" The Dating Bender by @christin_julian https://t.co/ECaOJhmasG https://t.co/tAnoRrciIU",1,"positive"
"And today's Amazon Reviewer Of The Day is ""Bernie"". Thanks Bernie!

https://t.co/hpt6ODcnBo",0,"neutral"
"Amazon Music Unlimited matches Apple Music deal for students, plus $1/mo promo https://t.co/b39vpxrrg1 https://t.co/KqPVw1kvEq",1,"positive"
"Python: Beginner's Guide To Programming Code With Python (python, Javascript, Java,   https://t.co/1eFhOPNifj #learning #python @pythonbot_",0,"neutral"
"I entered a giveaway for a chance to win ""GLITZALL Fashion Women Mini Zipper Bifold Vinta..."" by GLITZALL. https://t.co/jwvxHfIXM1 #giveaway",1,"positive"
"I just participated in an #AmazonGiveaway for Set of 30 - Circles Polka Dots Vinyl .... Check it out here:
 https://t.co/t1riTQg0xV",0,"neutral"
"An almost perfect opportunity 4 @amazon to display the farsightedness of the merger and importance of drone delivery #help4houston💪🏾",1,"positive"
"Hadoop Application Architectures here  https://t.co/FuX6VzwHho #apache-spark @machinelearnbot",0,"neutral"
"Want to check out my author page on Amazon? Have a look here - and why not follow me there! https://t.co/iHOhASBgru https://t.co/k96J9hM8yJ",0,"neutral"
"A simple love story by Gary  E Blagden https://t.co/JYkzxisHfi via @AmazonUK",1,"positive"
"#RT #sale IWOODEN Maple Wood Mens Watch ...: IWOODEN Maple Wood Mens Watch Analog Quartz… https://t.co/2qBihHdINy… https://t.co/hHFM1zo2uP",0,"neutral"
"Recode Daily: Harvey isn’t done with Texas, Amazon makes its Whole Foods debut https://t.co/xUKBTws5xb https://t.co/p5iJQOAJR4",0,"neutral"
"Light Up Your House! Win $63 iSPECLE 48FT LED Outdoor #StringLights for Garden Home DIY Backyard Pool Area https://t.co/wGFTEm8Yfa #giveaway",2,"positive"
"#ListeningTo #Absolute80s Men At Work - Down Under. Get it now: https://t.co/iGdDznkMpy  I♥80s 😍 https://t.co/oGOJ8E1i3w",1,"positive"
"moncefzid : Quantum AI Big Data Cloud Advanced Training https://t.co/nHca3q9HWp Smarter Than You Think Technology : https://t.co/eSZg4m5G3V",0,"neutral"
"Amazon Pushes Echo Smart Speakers on Campus   EdSurge News https://t.co/ZdvClkXumM #edtech via @HigherEdSurge",1,"positive"
"I just participated in an #AmazonGiveaway for Household Power Scrubber, Car Polish .... Check it out here:
 https://t.co/0j3ide1gCF",0,"neutral"
"15 new markdowns at Whole Foods that show just how much cheaper it is now https://t.co/ax0PuF8oWV",1,"positive"
"How I imagine some readers of my #gayerotic stories:
https://t.co/vq5RluNepR 
#Free with #KU
#lprtg #mrbrtg #ssrtg https://t.co/5VGVQeIIYz",0,"neutral"
"ICYMI: #VMware and #AWS Make Good on Joint Cloud Promise $VMW $AMZN https://t.co/uLAuj6tXzT",1,"positive"
"Amazon will never be able to railroad these five companies https://t.co/U86f2UIngD",0,"neutral"
"Romance 4 U! Get @pandamoonpub's gr8 reads at Amazon. Find Regina West’s #ContemporaryRom THE LONG WAY HOME at… https://t.co/Ai7eHKoDzG",0,"neutral"
"CHECK THIS OUT! NHL Mens TORONTO MAPLE LEAFS Athletic Warm Zip-Up Hoodie / Jacket L Blue https://t.co/wbVKX4Ljrp",1,"positive"
"Create thriving relationships #learn to #listen - learn to #Love
#Tuesdaythoughts #thrive
https://t.co/AEVq1pxVpQ… https://t.co/TAQxtgCOs2",1,"positive"
"VMware Consolidates Its Cloud Platform Around Amazon, Applications https://t.co/nfg2j5UsB7 #devops",-1,"negative"
"""Thought you'd best see this, my guess...you're looking at the components for a dirty bomb."" Quote from Mano by Liam Robert Mullen on Amazon",-1,"negative"
"A MINOR -CRY-: @kakicchysmusic: https://t.co/hUzENK0xdn #amazon #music #Prime #プライム",-1,"negative"
"Option Strategy Risk/Return Ratios by Brian Johnson: https://t.co/jjcuRLZgLr $SPY $IWM $RUT $MCD $IBM $AAPL",-1,"negative"
"#Win $50 Amazon &amp; get a #Free #Book  #TimeTravel #Paranormal #Romance #BookTour #Giveaway @anna_albergucci https://t.co/XqWytX4KbZ",0,"neutral"
"Dabur Honitus Ginger Cough Drops 100 lozenges jar Rs. 70 – Amazon https://t.co/UtbW7LPzrL",0,"neutral"
"b-but all kpop groups albums are on amazon bts didnt start something new what are they even talking about",0,"neutral"
"@SMcCrae_ @Cocodwor @NotStardy @KonyChimel @PlayTransistor ODYSSEY £42.99 on Amazon £39.99 with prime lowest I've seen it",0,"neutral"
"#NEW ""A perfect summer read"" The Dating Bender by @christin_julian https://t.co/ECaOJhmasG https://t.co/tAnoRrciIU",1,"positive"
"@amitbhawani @phoneradarblog @Flipkart @amazonIN Amazon should introduce fire phones to make a healthy competition in the market",1,"positive"
"@aulia_m @amazon @AmazonUK Maybe this is just another case of space-time tradeoff :) I admit it was fast (Amazon Pr… https://t.co/J0XKDv81Gf",1,"positive"
"'Her' ya es # 1 best seller en Amazon 👌🏻",1,"positive"
"Fascinating analysis of the strategy underpinning Amazon's acquisition of Whole Foods.https://t.co/QuwzzAVnaY",1,"positive"
"@PowerATL are you aware that your stream is down in the iHart app, and on Amazon Echo, it comes &amp; goes?",0,"neutral"
"Between a Rock and a Hard Place by Hipsy Bohannon https://t.co/ilbfQgR2z0 #romance @stalkinghipsy",-1,"negative"
"Mystery/Crime 4 U! Get @pandamoonpub's gr8 reads at Amazon. Find @LauraEllenScott’s THE JULIET at… https://t.co/TLrvadPTe1",-2,"negative"
"A History Of Scotland https://t.co/KJWub9LGLS #neiloliver #history #scotland",0,"neutral"
"Like #History? Authentic Characters?
#RT Check out S. R. Mallery
@SarahMallery1
https://t.co/4edIWVdb7v  
#BookBoost https://t.co/0VWHTNcCtp",2,"positive"
"LollyDaskal: Leading well is one courageous act after another. ~LollyDaskal https://t.co/GfL37oSlGm #TheLeadershi… https://t.co/gpuMg2t0Fm",3,"positive"
"Take a Movie's Advice: Legally Blonde  https://t.co/umRpxrs7hZ via @amazon  est",0,"neutral"
"Is honesty always the best policy?

A complicated #contemporaryromance. 
https://t.co/58Q32UOYgR  
#tw4rw #BookBoost https://t.co/ogfkVEEHIc",1,"positive"
"I just entered to win an Amazon Gift Card, MakeShaper Filament &amp; Magigoo Pens! Thanks @3DPrint_com. ENTER NOW! https://t.co/I2Gg23bEto",1,"positive"
"Sidetracked: Why Our Decisions Get Derailed, And How We Can Stick To The Plan By Gino, F  https://t.co/kIy8KVcqDI #business #plan @zippylab",-1,"negative"
"I entered a giveaway for a chance to win ""Silva Manual Coffee Grinder with Hand C..."" by Silva Restaur.... https://t.co/NmopP9Qb15 #giveaway",1,"positive"
"Beautiful Round Roundie Indian Mandala Round ... by Popular Handicrafts for $13.23 https://t.co/EwmH4fD3QR via @amazon #ad #sponsored",2,"positive"
"Use code ZV2SEU9Y at https://t.co/Kg0Bj2z8Ij for 21% off Vanderfields Earmuffs for Kids https://t.co/KDMHTsNpJv via @couponfollow",0,"neutral"
"$200 Amazon Gift Card Giveaway https://t.co/4XghQxuDD1",0,"neutral"
"Hot new Classical albums on Amazon: #7: A Man's a Man for a' That          https://t.co/p7AfnEdjxS https://t.co/K6pstcLEk1",1,"positive"
"#MotoAppQuiz 
I have answer all the question  successful on @amazon. Hope i will win https://t.co/IyXxKwqZyw",2,"positive"
"Motorola launches Moto G5S and G5S Plus in India as Amazon exclusive https://t.co/0EVayhrrif #android",0,"neutral"
"Ocado becomes the latest to get on board with #Amazon Alexa - sleeping with the enemy? https://t.co/6BxYOhGNBn",-1,"negative"
"I just participated in an #AmazonGiveaway for Little World Infinity Cube. Check it out here:
 https://t.co/28bgDJdIS9",0,"neutral"
"@markets Central banks don´t buy on line, but bond traders do. And it seems that they also read @markets news about… https://t.co/stSBFOUVPy",0,"neutral"
"'Amazon effect' plagues South Korean economy - South China Morning Post https://t.co/lsQqUjNQgc",0,"neutral"
"Within hours of @BigHitEnt announcing the preorder on amazon, it became the no. 1 on the best sellers list. Don't mess with us.",0,"neutral"
"The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies - https://t.co/PuX1PuNzOb #sales #salestip",-1,"negative"
"Born on the streets. Made in the stars. Star Binder by @robertappleton today at https://t.co/jtyDCdQnpy #asmsg… https://t.co/9TEvaZQi2x",0,"neutral"
"@JanDesaine Amazon prime acc",0,"neutral"
"'I notice she's not wearing her diamond and sapphire engagement ring. I guess she dumped him when she met me.'… https://t.co/UWZbTh6ha4",-1,"negative"
"An Old Man And His Axe: A Prepper fiction book of survival in an EMP grid dow... https://t.co/ObmCBdlpAy via @amazon #prepper #survival",0,"neutral"
"VMware’s hybrid cloud product for Amazon Web Services now generally available https://t.co/PeWOcj5RjM",0,"neutral"
".@KristiAnnHunter-“An Uncommon Courtship”-In the Shadows of Comfort #romance #regency #historical https://t.co/M47yIFmgun",1,"positive"
"Instead of chasing dirt with #VacuumCleaner, guy #sweeps #dirt to #vacuum :) #Book #Oddities #clever #solution #idea https://t.co/ZB8Pra7Jv4",-1,"negative"
"Turner India &amp; Amazon reach kids licensing deal
&lt;p&gt;Turner India and Amazon Prime Video have paired to
https://t.co/nSIN8bBHIY #tvconnect",0,"neutral"
"@tmsanders2014 Hi.. I am indie author and just published a drama Thriller. It's  currently FREE on Amazon. Will you… https://t.co/6DtUsOE8MO",1,"positive"
"Love Speculative Fiction? #Win a $100 #Amazon #GiftCard in this #Facebook &amp; #Twitter #Giveaway via @sffbookbonanza: https://t.co/xbVAOxBeuQ",0,"neutral"
"On 1st day, Amazon aims to dispel Whole Foods' 'whole paycheck' mentality https://t.co/IzIEijrWzI via @PhillyBusiness",0,"neutral"
"Use  6P7OWH7D at https://t.co/Kg0Bj2z8Ij for 17% off Siluno Elephant Protective Siluno Sun Shade https://t.co/KDMHTsNpJv via @couponfollow",0,"neutral"
"""I'm the Pay-As-You-Go girlfriend- £200 per hour"". Now she has to prove she's not a killer. https://t.co/GPNbUIGf5j… https://t.co/Ilk9mJBbOt",-1,"negative"
"Can Alexa keep her past from destroying everything...   https://t.co/ATalahOlxF 
#Romance #Love #GoodBook #GetSome… https://t.co/FdLbvXItXf",0,"neutral"
"Amanda doubts her own innocence when her abusers turn up dead #Thriller https://t.co/cW09bWHBfe @nettanewbound https://t.co/8lCz9yJLjn",-2,"negative"
"Check out ""You Are The One"" by AM FM on Amazon Music. https://t.co/EX39OQe3z3 https://t.co/GpENXqMuxC",0,"neutral"
"I just participated in an #AmazonGiveaway for Folding Wood Walking Stick Rope Wrapp.... Check it out here:
 https://t.co/g3JI3wJyLX",0,"neutral"
"IFB 30 L Convection Microwave Oven (30BRC2, Black) https://t.co/R760WxtjS4 https://t.co/1P0w7IjY6d",0,"neutral"
"#Win print book or $5 Amazon #BookTour #Giveaway #Paranormal #Romance  @AlanaDelacroix   https://t.co/OF9BP59AUb",0,"neutral"
"2 days 12 hours 32 mins and 46 seconds til #TRoW3 
https://t.co/7tmjG34HvW
#epicfantasy #ebook https://t.co/wyfJk0nKUB",0,"neutral"
"@LinzDeFranco How can they drop their prices so much? I don't know the US but is Whole Foods overpriced or are Amazon being sneaky?",-2,"negative"
"Attention Shoppers: And in case you missed the Whole Foods Market + Amazon banner at the entrance, there are plenty…https://t.co/9XqliHVN91",-1,"negative"
"Amazon product and when done of this stuff is forward to Philadelphia you have people there that are doing rituals to products that are",0,"neutral"
"@JustinTrudeau PM - donations can be made to the Red Cross &amp; can be made thru Amazon to be matched! Just log in and… https://t.co/PdWMoFYJ2W",0,"neutral"
"Moto G5s plus launched on Amazon. Looks good on first impressions.#MotoAppQuiz",1,"positive"
"Resolving Anxiety &amp; the Effects of Trauma for Good https://t.co/7XenA7n15f; #BYNR #IARTG #Ebook #amazon",-1,"negative"
"Survival Medicine Handbook by Nathan  Leon https://t.co/2DpckgZsjv",1,"positive"
"@yoongisaking @soompi And I'm from Norway so what exactly is ur point, by your company selling it on Amazon doesn't… https://t.co/NxvcFBlrWB",0,"neutral"
"Mystery/Crime 4 U! Get @pandamoonpub's gr8 reads at Amazon. Find Francis Sparks’ @writingsparks MADE SAFE at https://t.co/yn8PGqI4uD",-1,"negative"
"The Best #Writing #BOOK Ever!"" #WritersLife
#amwriting #WriteTips #WritersBlock #BYNR https://t.co/dK48Zsb6fM #BYNR https://t.co/7RoQOTcPoL",1,"positive"
"Pensioners are given Amazon Echos for medication reminders #digitalhealth - https://t.co/JjAjpaHfWW",0,"neutral"
"The #NutraEdge Shaker Bottle with Blender Ball is perfect for blending my protein shakes!! https://t.co/mFnhaboy7V https://t.co/NZA0Vz3wes",1,"positive"
"Started reading on Kindle. More insight sharing comming.  ""Eles orientam, monitoram, cobram e mensuram o resultad... https://t.co/KuW3wL8mxq",0,"neutral"
"Use code U58EDX3R at https://t.co/Kg0Bj2z8Ij for 23% off Beard Brush for Men https://t.co/KDMHTsNpJv via @couponfollow",0,"neutral"
"Your all-time favorite duo 100% Arabica &amp; Intensiva capsules are back with new packaging on @amazon US. Stock up no… https://t.co/zAMgcjwPaE",1,"positive"
"Hacker News - Why Amazon Isn’t Ready for Prime Time in China https://t.co/7CL33EhsDZ",1,"positive"
"Whiteout [DVD] ELEVATION - OPTIMUM https://t.co/P7yuAYOrgO via @AmazonUK",0,"neutral"
"If you missed my FREE #freelance book promo last week, you can get it today/tomorrow for free! #freelancewriting
https://t.co/Sj6Nx4M2cA",1,"positive"
"Just entered to try to win a stainless steel water bottle that keeps drinks cold OR hot ALL day long! https://t.co/1qPfaouNLp #giveaway",2,"positive"
"I entered a giveaway for a chance to win ""aokway Universal Fit Car Front Side Window Sun Sh..."" by aokway. https://t.co/drwZEX6iug #giveaway",1,"positive"
"Here’s how much Amazon lowered Whole Foods prices https://t.co/i9fdEgVyVx",0,"neutral"
"&lt;b&gt;Wham&lt;/b&gt; (United Kingdom) https://t.co/ZaVz2Uohxj",0,"neutral"
"⚡DEAD MEDIUM⚡
A Kindle Dark Comedy Bestseller
https://t.co/CV2jRpVI3i
Free On #KindleUnlimited
#CR4U #PDF1 https://t.co/erY7TCoAxC",-1,"negative"
